modelo | dimensoes | preço venda
Peseira Linho Chumbo / Boucle Branco | p/ colchão 1,58 | 485,13
Peseira Linho Areia / Verde / Sky Dourado / Gelo | p/ colchão 1,58 | 435,60
Peseira Veludo Azul / Preto | p/ colchão 1,58 | 377,71
Peseira Suede Bege Escuro / Veludo Grafite / Veludo Cinza | p/ colchão 1,58 | 169,80
Peseira Linho Bege / Azul / Rose / Prata / Marrom | p/ colchão 1,58 | 145,54
EMBALAGEM C/ PLÁSTICO BOLHA |  | 65,72
Peseira Linho Chumbo / Boucle Branco | p/ colchão 1,93 | 545,77
Peseira Linho Areia / Verde / Sky Dourado / Gelo | p/ colchão 1,93 | 490,05
Peseira Veludo Azul / Preto | p/ colchão 1,93 | 424,92
Peseira Suede Bege Escuro / Veludo Grafite / Veludo Cinza | p/ colchão 1,93 | 191,02
Peseira Linho Bege / Azul / Rose / Prata / Marrom | p/ colchão 1,93 | 163,73
KIT PÉS FUME 4X2 12CM |  | 105,62
Peseira Linho Chumbo / Boucle Branco | p/ colchão ac. 1,93 | 586,20
Peseira Linho Areia / Verde / Sky Dourado / Gelo | p/ colchão ac. 1,93 | 526,35
Peseira Veludo Azul / Preto | p/ colchão ac. 1,93 | 456,40
Peseira Suede Bege Escuro / Veludo Grafite / Veludo Cinza | p/ colchão ac. 1,93 | 205,17
Peseira Linho Bege / Azul / Rose / Prata / Marrom | p/ colchão ac. 1,93 | 175,86
CAMADA EXTRA |  | 10,30
Assistência Espuma D28 STANDARD 10cm (camada niveladora Montreal) | 0,88 x 1,88 | 375,37
Assistência Espuma D28 STANDARD 10cm (camada niveladora Montreal) | 1,19 x 1,88 | 507,61
Assistência Espuma D28 STANDARD 10cm (camada niveladora Montreal) | 1,38 x 1,88 | 588,65
Assistência Espuma D28 STANDARD 10cm (camada niveladora Montreal) | 1,58 x 1,98 | 709,82
Assistência Espuma D28 STANDARD 10cm (camada niveladora Montreal) | 1,93 x 2,03 | 888,95
Assistência Espuma D28 STANDARD 16cm (borda p/ colchão de molas) | 0,88 x 1,88 | 95,63
Assistência Espuma D28 STANDARD 16cm (borda p/ colchão de molas) | 1,19 x 1,88 | 95,66
Assistência Espuma D28 STANDARD 16cm (borda p/ colchão de molas) | 1,38 x 1,88 | 95,67
Assistência Espuma D28 STANDARD 16cm (borda p/ colchão de molas) | 1,58 x 1,98 | 100,78
Assistência Espuma D28 STANDARD 16cm (borda p/ colchão de molas) | 1,93 x 2,03 | 103,35
Assistência Espuma D28 STANDARD 3cm (camada de médio impacto) | 0,88 x 1,88 | 112,61
Assistência Espuma D28 STANDARD 3cm (camada de médio impacto) | 1,19 x 1,88 | 152,28
Assistência Espuma D28 STANDARD 3cm (camada de médio impacto) | 1,38 x 1,88 | 176,60
Assistência Espuma D28 STANDARD 3cm (camada de médio impacto) | 1,58 x 1,98 | 212,94
Assistência Espuma D28 STANDARD 3cm (camada de médio impacto) | 1,93 x 2,03 | 266,68
Assistência Espuma D28 STANDARD 6cm (camada niveladora) | 0,88 x 1,88 | 225,22
Assistência Espuma D28 STANDARD 6cm (camada niveladora) | 1,19 x 1,88 | 304,56
Assistência Espuma D28 STANDARD 6cm (camada niveladora) | 1,38 x 1,88 | 353,19
Assistência Espuma D28 STANDARD 6cm (camada niveladora) | 1,58 x 1,98 | 425,89
Assistência Espuma D28 STANDARD 6cm (camada niveladora) | 1,93 x 2,03 | 533,37
Assistência Espuma D33 STANDARD 10cm (camada niveladora G7) | 0,88 x 1,88 | 428,17
Assistência Espuma D33 STANDARD 10cm (camada niveladora G7) | 1,19 x 1,88 | 579,01
Assistência Espuma D33 STANDARD 10cm (camada niveladora G7) | 1,38 x 1,88 | 671,45
Assistência Espuma D33 STANDARD 10cm (camada niveladora G7) | 1,58 x 1,98 | 809,66
Assistência Espuma D33 STANDARD 10cm (camada niveladora G7) | 1,93 x 2,03 | 1013,99
Assistência Espuma D33 STANDARD 16cm (borda p/ colchão Diamante) | 0,88 x 1,88 | 109,07
Assistência Espuma D33 STANDARD 16cm (borda p/ colchão Diamante) | 1,19 x 1,88 | 109,10
Assistência Espuma D33 STANDARD 16cm (borda p/ colchão Diamante) | 1,38 x 1,88 | 109,11
Assistência Espuma D33 STANDARD 16cm (borda p/ colchão Diamante) | 1,58 x 1,98 | 114,93
Assistência Espuma D33 STANDARD 16cm (borda p/ colchão Diamante) | 1,93 x 2,03 | 117,86
Assistência Espuma D33 STANDARD 3cm (camada de médio impacto) | 0,88 x 1,88 | 128,45
Assistência Espuma D33 STANDARD 3cm (camada de médio impacto) | 1,19 x 1,88 | 173,70
Assistência Espuma D33 STANDARD 3cm (camada de médio impacto) | 1,38 x 1,88 | 201,44
Assistência Espuma D33 STANDARD 3cm (camada de médio impacto) | 1,58 x 1,98 | 242,90
Assistência Espuma D33 STANDARD 3cm (camada de médio impacto) | 1,93 x 2,03 | 304,20
Assistência Espuma D33 STANDARD 4cm (camada de médio impacto) | 0,88 x 1,88 | 171,27
Assistência Espuma D33 STANDARD 4cm (camada de médio impacto) | 1,19 x 1,88 | 231,60
Assistência Espuma D33 STANDARD 4cm (camada de médio impacto) | 1,38 x 1,88 | 268,58
Assistência Espuma D33 STANDARD 4cm (camada de médio impacto) | 1,58 x 1,98 | 323,86
Assistência Espuma D33 STANDARD 4cm (camada de médio impacto) | 1,93 x 2,03 | 405,60
Assistência Espuma D35 COMFORT 4cm (camada de conforto articular) | 0,88 x 1,88 | 145,74
Assistência Espuma D35 COMFORT 4cm (camada de conforto articular) | 1,19 x 1,88 | 197,08
Assistência Espuma D35 COMFORT 4cm (camada de conforto articular) | 1,38 x 1,88 | 228,55
Assistência Espuma D35 COMFORT 4cm (camada de conforto articular) | 1,58 x 1,98 | 275,59
Assistência Espuma D35 COMFORT 4cm (camada de conforto articular) | 1,93 x 2,03 | 345,14
Assistência Espuma D35 COMFORT 9cm (camada de conforto articular) | 0,88 x 1,88 | 327,91
Assistência Espuma D35 COMFORT 9cm (camada de conforto articular) | 1,19 x 1,88 | 443,43
Assistência Espuma D35 COMFORT 9cm (camada de conforto articular) | 1,38 x 1,88 | 514,23
Assistência Espuma D35 COMFORT 9cm (camada de conforto articular) | 1,58 x 1,98 | 620,07
Assistência Espuma D35 COMFORT 9cm (camada de conforto articular) | 1,93 x 2,03 | 776,56
Assistência Espuma D35 COMFORT 11cm (camada de conforto articular) | 0,88 x 1,88 | 400,78
Assistência Espuma D35 COMFORT 11cm (camada de conforto articular) | 1,19 x 1,88 | 541,97
Assistência Espuma D35 COMFORT 11cm (camada de conforto articular) | 1,38 x 1,88 | 628,50
Assistência Espuma D35 COMFORT 11cm (camada de conforto articular) | 1,58 x 1,98 | 757,86
Assistência Espuma D35 COMFORT 11cm (camada de conforto articular) | 1,93 x 2,03 | 949,12
Assistência Espuma D40 FRESH 3cm (camada hipersoft) | 0,88 x 1,88 | 151,53
Assistência Espuma D40 FRESH 3cm (camada hipersoft) | 1,19 x 1,88 | 204,92
Assistência Espuma D40 FRESH 3cm (camada hipersoft) | 1,38 x 1,88 | 237,63
Assistência Espuma D40 FRESH 3cm (camada hipersoft) | 1,58 x 1,98 | 286,55
Assistência Espuma D40 FRESH 3cm (camada hipersoft) | 1,93 x 2,03 | 358,86
Assistência Espuma D45 STANDARD 10cm (caixa ortopédica) | 0,88 x 1,88 | 677,72
Assistência Espuma D45 STANDARD 10cm (caixa ortopédica) | 1,19 x 1,88 | 916,46
Assistência Espuma D45 STANDARD 10cm (caixa ortopédica) | 1,38 x 1,88 | 1062,78
Assistência Espuma D45 STANDARD 10cm (caixa ortopédica) | 1,58 x 1,98 | 1281,53
Assistência Espuma D45 STANDARD 10cm (caixa ortopédica) | 1,93 x 2,03 | 1604,95
Assistência Espuma D45 STANDARD 8cm (caixa ortopédica) | 0,88 x 1,88 | 542,17
Assistência Espuma D45 STANDARD 8cm (caixa ortopédica) | 1,19 x 1,88 | 733,17
Assistência Espuma D45 STANDARD 8cm (caixa ortopédica) | 1,38 x 1,88 | 850,23
Assistência Espuma D45 STANDARD 8cm (caixa ortopédica) | 1,58 x 1,98 | 1025,23
Assistência Espuma D45 STANDARD 8cm (caixa ortopédica) | 1,93 x 2,03 | 1283,96
Assistência Espuma D60 SPRING 3cm (camada de alta resiliência) | 0,88 x 1,88 | 253,31
Assistência Espuma D60 SPRING 3cm (camada de alta resiliência) | 1,19 x 1,88 | 342,55
Assistência Espuma D60 SPRING 3cm (camada de alta resiliência) | 1,38 x 1,88 | 397,24
Assistência Espuma D60 SPRING 3cm (camada de alta resiliência) | 1,58 x 1,98 | 479,00
Assistência Espuma D60 SPRING 3cm (camada de alta resiliência) | 1,93 x 2,03 | 599,89
Assistência Espuma D60 SPRING 6cm (camada de alta resiliência) | 0,88 x 1,88 | 506,62
Assistência Espuma D60 SPRING 6cm (camada de alta resiliência) | 1,19 x 1,88 | 685,09
Assistência Espuma D60 SPRING 6cm (camada de alta resiliência) | 1,38 x 1,88 | 794,48
Assistência Espuma D60 SPRING 6cm (camada de alta resiliência) | 1,58 x 1,98 | 958,00
Assistência Espuma D60 SPRING 6cm (camada de alta resiliência) | 1,93 x 2,03 | 1199,77
Assistência Espuma D33 NANOEX PERFILADO 3cm c/ M+IVL | 0,88 x 1,88 | 570,67
Assistência Espuma D33 NANOEX PERFILADO 3cm c/ M+IVL | 1,19 x 1,88 | 771,70
Assistência Espuma D33 NANOEX PERFILADO 3cm c/ M+IVL | 1,38 x 1,88 | 894,92
Assistência Espuma D33 NANOEX PERFILADO 3cm c/ M+IVL | 1,58 x 1,98 | 1079,12
Assistência Espuma D33 NANOEX PERFILADO 3cm c/ M+IVL | 1,93 x 2,03 | 1351,45
Assistência Espuma D33 STANDARD PERFILADO 3cm c/ M+IVL | 0,88 x 1,88 | 448,21
Assistência Espuma D33 STANDARD PERFILADO 3cm c/ M+IVL | 1,19 x 1,88 | 606,11
Assistência Espuma D33 STANDARD PERFILADO 3cm c/ M+IVL | 1,38 x 1,88 | 702,88
Assistência Espuma D33 STANDARD PERFILADO 3cm c/ M+IVL | 1,58 x 1,98 | 847,55
Assistência Espuma D33 STANDARD PERFILADO 3cm c/ M+IVL | 1,93 x 2,03 | 1061,44
Assistência Espuma RETIRADA DE MAGNETO E/OU IVL |  | 103,00
Assistência Faixa COMFORT | 0,88 x 1,88 | 81,07
Assistência Faixa COMFORT | 1,19 x 1,88 | 90,07
Assistência Faixa COMFORT | 1,38 x 1,88 | 95,61
Assistência Faixa COMFORT | 1,58 x 1,98 | 104,29
Assistência Faixa COMFORT | 1,93 x 2,03 | 115,93
Assistência Faixa CONJ ARTICULADO TRAD versão DIAMANTE (inferior) | 0,88 x 1,88 | 240,05
Assistência Faixa CONJ ARTICULADO TRAD versão DIAMANTE (inferior) | 1,19 x 1,88 | 266,75
Assistência Faixa CONJ ARTICULADO TRAD versão DIAMANTE (inferior) | 1,38 x 1,88 | 283,07
Assistência Faixa CONJ ARTICULADO TRAD versão DIAMANTE (inferior) | 1,58 x 1,98 | 308,88
Assistência Faixa CONJ ARTICULADO TRAD versão DIAMANTE (inferior) | 1,93 x 2,03 | 342,89
Assistência Faixa CONJ ARTICULADO TRAD versão DIAMANTE (superior) | 0,88 x 1,88 | 120,03
Assistência Faixa CONJ ARTICULADO TRAD versão DIAMANTE (superior) | 1,19 x 1,88 | 133,37
Assistência Faixa CONJ ARTICULADO TRAD versão DIAMANTE (superior) | 1,38 x 1,88 | 141,53
Assistência Faixa CONJ ARTICULADO TRAD versão DIAMANTE (superior) | 1,58 x 1,98 | 154,44
Assistência Faixa CONJ ARTICULADO TRAD versão DIAMANTE (superior) | 1,93 x 2,03 | 171,44
Assistência Faixa CONJ ARTICULADO JOELHO versão DIAMANTE | 0,88 x 1,88 | 240,05
Assistência Faixa CONJ ARTICULADO JOELHO versão DIAMANTE | 1,19 x 1,88 | 266,75
Assistência Faixa CONJ ARTICULADO JOELHO versão DIAMANTE | 1,38 x 1,88 | 283,07
Assistência Faixa CONJ ARTICULADO JOELHO versão DIAMANTE | 1,58 x 1,98 | 308,88
Assistência Faixa CONJ ARTICULADO JOELHO versão DIAMANTE | 1,93 x 2,03 | 342,89
Assistência Faixa DIAMANTE (inferior) | 0,88 x 1,88 | 298,26
Assistência Faixa DIAMANTE (inferior) | 1,19 x 1,88 | 331,38
Assistência Faixa DIAMANTE (inferior) | 1,38 x 1,88 | 351,69
Assistência Faixa DIAMANTE (inferior) | 1,58 x 1,98 | 383,77
Assistência Faixa DIAMANTE (inferior) | 1,93 x 2,03 | 426,54
Assistência Faixa DIAMANTE (superior) | 0,88 x 1,88 | 159,78
Assistência Faixa DIAMANTE (superior) | 1,19 x 1,88 | 177,52
Assistência Faixa DIAMANTE (superior) | 1,38 x 1,88 | 188,41
Assistência Faixa DIAMANTE (superior) | 1,58 x 1,98 | 205,59
Assistência Faixa DIAMANTE (superior) | 1,93 x 2,03 | 228,50
Assistência Faixa COLCHÃO P/ CONJ FLEXIBED (qualquer versão) | 0,88 x 1,88 | 99,42
Assistência Faixa COLCHÃO P/ CONJ FLEXIBED (qualquer versão) | 1,19 x 1,88 | 110,46
Assistência Faixa COLCHÃO P/ CONJ FLEXIBED (qualquer versão) | 1,38 x 1,88 | 117,23
Assistência Faixa COLCHÃO P/ CONJ FLEXIBED (qualquer versão) | 1,58 x 1,98 | 127,92
Assistência Faixa COLCHÃO P/ CONJ FLEXIBED (qualquer versão) | 1,93 x 2,03 | 142,18
Assistência Faixa LUNAR | 0,88 x 1,88 | 40,53
Assistência Faixa LUNAR | 1,19 x 1,88 | 45,03
Assistência Faixa LUNAR | 1,38 x 1,88 | 47,80
Assistência Faixa LUNAR | 1,58 x 1,98 | 52,16
Assistência Faixa LUNAR | 1,93 x 2,03 | 57,96
Assistência Faixa MONTREAL BY EKO'7 | 0,88 x 1,88 | 31,82
Assistência Faixa MONTREAL BY EKO'7 | 1,19 x 1,88 | 35,36
Assistência Faixa MONTREAL BY EKO'7 | 1,38 x 1,88 | 37,53
Assistência Faixa MONTREAL BY EKO'7 | 1,58 x 1,98 | 40,95
Assistência Faixa MONTREAL BY EKO'7 | 1,93 x 2,03 | 45,51
Assistência Faixa ÚNICO | 0,88 x 1,88 | 73,23
Assistência Faixa ÚNICO | 1,19 x 1,88 | 81,35
Assistência Faixa ÚNICO | 1,38 x 1,88 | 86,36
Assistência Faixa ÚNICO | 1,58 x 1,98 | 94,23
Assistência Faixa ÚNICO | 1,93 x 2,03 | 104,70
Assistência Faixa CONJ ARTICULADO TRAD versão NEWS | 0,88 x 1,88 | 141,28
Assistência Faixa CONJ ARTICULADO TRAD versão NEWS | 1,19 x 1,88 | 156,97
Assistência Faixa CONJ ARTICULADO TRAD versão NEWS | 1,38 x 1,88 | 166,59
Assistência Faixa CONJ ARTICULADO TRAD versão NEWS | 1,58 x 1,98 | 181,78
Assistência Faixa CONJ ARTICULADO TRAD versão NEWS | 1,93 x 2,03 | 202,05
Assistência Faixa NEWS | 0,88 x 1,88 | 134,22
Assistência Faixa NEWS | 1,19 x 1,88 | 149,12
Assistência Faixa NEWS | 1,38 x 1,88 | 158,26
Assistência Faixa NEWS | 1,58 x 1,98 | 172,69
Assistência Faixa NEWS | 1,93 x 2,03 | 191,94
Assistência Faixa CONJ ARTICULADO TRAD versão PANGEIA | 0,88 x 1,88 | 259,25
Assistência Faixa CONJ ARTICULADO TRAD versão PANGEIA | 1,19 x 1,88 | 288,09
Assistência Faixa CONJ ARTICULADO TRAD versão PANGEIA | 1,38 x 1,88 | 305,71
Assistência Faixa CONJ ARTICULADO TRAD versão PANGEIA | 1,58 x 1,98 | 333,59
Assistência Faixa CONJ ARTICULADO TRAD versão PANGEIA | 1,93 x 2,03 | 370,32
Assistência Faixa PANGEIA | 0,88 x 1,88 | 268,43
Assistência Faixa PANGEIA | 1,19 x 1,88 | 298,24
Assistência Faixa PANGEIA | 1,38 x 1,88 | 316,53
Assistência Faixa PANGEIA | 1,58 x 1,98 | 345,39
Assistência Faixa PANGEIA | 1,93 x 2,03 | 383,89
Assistência Faixa CONJ ARTICULADO TRAD versão SERIE OURO (inferior) | 0,88 x 1,88 | 56,16
Assistência Faixa CONJ ARTICULADO TRAD versão SERIE OURO (inferior) | 1,19 x 1,88 | 62,41
Assistência Faixa CONJ ARTICULADO TRAD versão SERIE OURO (inferior) | 1,38 x 1,88 | 66,24
Assistência Faixa CONJ ARTICULADO TRAD versão SERIE OURO (inferior) | 1,58 x 1,98 | 72,28
Assistência Faixa CONJ ARTICULADO TRAD versão SERIE OURO (inferior) | 1,93 x 2,03 | 80,33
Assistência Faixa CONJ ARTICULADO TRAD versão SERIE OURO (superior) | 0,88 x 1,88 | 28,08
Assistência Faixa CONJ ARTICULADO TRAD versão SERIE OURO (superior) | 1,19 x 1,88 | 31,21
Assistência Faixa CONJ ARTICULADO TRAD versão SERIE OURO (superior) | 1,38 x 1,88 | 33,12
Assistência Faixa CONJ ARTICULADO TRAD versão SERIE OURO (superior) | 1,58 x 1,98 | 36,14
Assistência Faixa CONJ ARTICULADO TRAD versão SERIE OURO (superior) | 1,93 x 2,03 | 40,16
Assistência Faixa CONJ ARTICULADO JOELHO versão SERIE OURO | 0,88 x 1,88 | 56,16
Assistência Faixa CONJ ARTICULADO JOELHO versão SERIE OURO | 1,19 x 1,88 | 62,41
Assistência Faixa CONJ ARTICULADO JOELHO versão SERIE OURO | 1,38 x 1,88 | 66,24
Assistência Faixa CONJ ARTICULADO JOELHO versão SERIE OURO | 1,58 x 1,98 | 72,28
Assistência Faixa CONJ ARTICULADO JOELHO versão SERIE OURO | 1,93 x 2,03 | 80,33
Assistência Faixa SERIE OURO (inferior) | 0,88 x 1,88 | 36,51
Assistência Faixa SERIE OURO (inferior) | 1,19 x 1,88 | 40,57
Assistência Faixa SERIE OURO (inferior) | 1,38 x 1,88 | 43,06
Assistência Faixa SERIE OURO (inferior) | 1,58 x 1,98 | 46,98
Assistência Faixa SERIE OURO (inferior) | 1,93 x 2,03 | 52,21
Assistência Faixa SERIE OURO (superior) | 0,88 x 1,88 | 64,59
Assistência Faixa SERIE OURO (superior) | 1,19 x 1,88 | 71,78
Assistência Faixa SERIE OURO (superior) | 1,38 x 1,88 | 76,18
Assistência Faixa SERIE OURO (superior) | 1,58 x 1,98 | 83,13
Assistência Faixa SERIE OURO (superior) | 1,93 x 2,03 | 92,38
Assistência Faixa SEVEN | 0,88 x 1,88 | 73,23
Assistência Faixa SEVEN | 1,19 x 1,88 | 81,35
Assistência Faixa SEVEN | 1,38 x 1,88 | 86,36
Assistência Faixa SEVEN | 1,58 x 1,98 | 94,23
Assistência Faixa SEVEN | 1,93 x 2,03 | 104,70
Assistência Tampo MONTREAL | 0,88 x 1,88 | 104,19
Assistência Tampo MONTREAL | 1,19 x 1,88 | 139,30
Assistência Tampo MONTREAL | 1,38 x 1,88 | 160,81
Assistência Tampo MONTREAL | 1,58 x 1,98 | 183,46
Assistência Tampo MONTREAL | 1,93 x 2,03 | 223,10
Assistência Tampo ÚNICO | 0,88 x 1,88 | 125,03
Assistência Tampo ÚNICO | 1,19 x 1,88 | 167,16
Assistência Tampo ÚNICO | 1,38 x 1,88 | 192,98
Assistência Tampo ÚNICO | 1,58 x 1,98 | 220,16
Assistência Tampo ÚNICO | 1,93 x 2,03 | 267,72
Assistência Tampo SERIE OURO | 0,88 x 1,88 | 183,23
Assistência Tampo SERIE OURO | 1,19 x 1,88 | 244,97
Assistência Tampo SERIE OURO | 1,38 x 1,88 | 282,81
Assistência Tampo SERIE OURO | 1,58 x 1,98 | 322,64
Assistência Tampo SERIE OURO | 1,93 x 2,03 | 392,35
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão SERIE OURO | 0,88 x 1,88 | 129,60
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão SERIE OURO | 1,19 x 1,88 | 173,27
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão SERIE OURO | 1,38 x 1,88 | 200,04
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão SERIE OURO | 1,58 x 1,98 | 228,21
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão SERIE OURO | 1,93 x 2,03 | 277,52
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão DIAMANTE | 0,88 x 1,88 | 353,03
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão DIAMANTE | 1,19 x 1,88 | 471,98
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão DIAMANTE | 1,38 x 1,88 | 544,89
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão DIAMANTE | 1,58 x 1,98 | 621,64
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão DIAMANTE | 1,93 x 2,03 | 755,94
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão NEWS | 0,88 x 1,88 | 175,31
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão NEWS | 1,19 x 1,88 | 234,39
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão NEWS | 1,38 x 1,88 | 270,59
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão NEWS | 1,58 x 1,98 | 308,71
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão NEWS | 1,93 x 2,03 | 375,40
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão PANGEIA | 0,88 x 1,88 | 179,32
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão PANGEIA | 1,19 x 1,88 | 239,75
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão PANGEIA | 1,38 x 1,88 | 276,78
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão PANGEIA | 1,58 x 1,98 | 315,77
Assistência Tampo CONJ ARTICULADO TRAD e JOELHO versão PANGEIA | 1,93 x 2,03 | 383,99
Assistência Tampo COLCHÃO P/ CONJ ART FLEXIBED (qualquer versão) | 0,88 x 1,88 | 264,17
Assistência Tampo COLCHÃO P/ CONJ ART FLEXIBED (qualquer versão) | 1,19 x 1,88 | 353,18
Assistência Tampo COLCHÃO P/ CONJ ART FLEXIBED (qualquer versão) | 1,38 x 1,88 | 407,74
Assistência Tampo COLCHÃO P/ CONJ ART FLEXIBED (qualquer versão) | 1,58 x 1,98 | 465,17
Assistência Tampo COLCHÃO P/ CONJ ART FLEXIBED (qualquer versão) | 1,93 x 2,03 | 565,67
Assistência Tampo DIAMANTE | 0,88 x 1,88 | 439,13
Assistência Tampo DIAMANTE | 1,19 x 1,88 | 587,10
Assistência Tampo DIAMANTE | 1,38 x 1,88 | 677,79
Assistência Tampo DIAMANTE | 1,58 x 1,98 | 773,25
Assistência Tampo DIAMANTE | 1,93 x 2,03 | 940,31
Assistência Tampo LUNAR | 0,88 x 1,88 | 125,03
Assistência Tampo LUNAR | 1,19 x 1,88 | 167,16
Assistência Tampo LUNAR | 1,38 x 1,88 | 192,98
Assistência Tampo LUNAR | 1,58 x 1,98 | 220,16
Assistência Tampo LUNAR | 1,93 x 2,03 | 267,72
Assistência Tampo MONTREAL BY EKO'7 | 0,88 x 1,88 | 98,34
Assistência Tampo MONTREAL BY EKO'7 | 1,19 x 1,88 | 131,47
Assistência Tampo MONTREAL BY EKO'7 | 1,38 x 1,88 | 151,78
Assistência Tampo MONTREAL BY EKO'7 | 1,58 x 1,98 | 173,16
Assistência Tampo MONTREAL BY EKO'7 | 1,93 x 2,03 | 210,57
Assistência Tampo NEWS | 0,88 x 1,88 | 218,07
Assistência Tampo NEWS | 1,19 x 1,88 | 291,56
Assistência Tampo NEWS | 1,38 x 1,88 | 336,59
Assistência Tampo NEWS | 1,58 x 1,98 | 384,00
Assistência Tampo NEWS | 1,93 x 2,03 | 466,96
Assistência Tampo COMFORT | 0,88 x 1,88 | 125,03
Assistência Tampo COMFORT | 1,19 x 1,88 | 167,16
Assistência Tampo COMFORT | 1,38 x 1,88 | 192,98
Assistência Tampo COMFORT | 1,58 x 1,98 | 220,16
Assistência Tampo COMFORT | 1,93 x 2,03 | 267,72
Assistência Tampo PANGEIA | 0,88 x 1,88 | 179,32
Assistência Tampo PANGEIA | 1,19 x 1,88 | 239,75
Assistência Tampo PANGEIA | 1,38 x 1,88 | 276,78
Assistência Tampo PANGEIA | 1,58 x 1,98 | 315,77
Assistência Tampo PANGEIA | 1,93 x 2,03 | 383,99
Assistência Tampo SEVEN | 0,88 x 1,88 | 125,03
Assistência Tampo SEVEN | 1,19 x 1,88 | 167,16
Assistência Tampo SEVEN | 1,38 x 1,88 | 192,98
Assistência Tampo SEVEN | 1,58 x 1,98 | 220,16
Assistência Tampo SEVEN | 1,93 x 2,03 | 267,72
Assistência Tampo MANTA QUÂNTICA (apenas revestimento s/ eletrônicos) | 0,88 x 1,88 | 135,11
Assistência Tampo MANTA QUÂNTICA (apenas revestimento s/ eletrônicos) | 1,19 x 1,88 | 180,63
Assistência Tampo MANTA QUÂNTICA (apenas revestimento s/ eletrônicos) | 1,38 x 1,88 | 208,53
Assistência Tampo MANTA QUÂNTICA (apenas revestimento s/ eletrônicos) | 1,58 x 1,98 | 237,90
Assistência Tampo MANTA QUÂNTICA (apenas revestimento s/ eletrônicos) | 1,93 x 2,03 | 289,30
Assistência Tampo INFERIOR (padrão) | 0,88 x 1,88 | 33,56
Assistência Tampo INFERIOR (padrão) | 1,19 x 1,88 | 44,87
Assistência Tampo INFERIOR (padrão) | 1,38 x 1,88 | 51,80
Assistência Tampo INFERIOR (padrão) | 1,58 x 1,98 | 59,09
Assistência Tampo INFERIOR (padrão) | 1,93 x 2,03 | 71,86
Assistência Diversos REVESTIMENTO COLCHÃO BABY |  | 246,95
Assistência Diversos REVESTIMENTO BOX BAÚ | 0,88 x 1,88 | 279,78
Assistência Diversos REVESTIMENTO BOX BAÚ | 1,19 x 1,88 | 310,35
Assistência Diversos REVESTIMENTO BOX BAÚ | 1,38 x 1,88 | 329,15
Assistência Diversos REVESTIMENTO BOX BAÚ | 1,58 x 1,98 | 559,55
Assistência Diversos REVESTIMENTO BOX BAÚ | 1,93 x 2,03 | 605,03
Assistência Diversos REVESTIMENTO BOX CLASSICO | 0,88 x 1,88 | 444,03
Assistência Diversos REVESTIMENTO BOX CLASSICO | 1,19 x 1,88 | 492,56
Assistência Diversos REVESTIMENTO BOX CLASSICO | 1,38 x 1,88 | 522,39
Assistência Diversos REVESTIMENTO BOX CLASSICO | 1,58 x 1,98 | 888,06
Assistência Diversos REVESTIMENTO BOX CLASSICO | 1,93 x 2,03 | 960,25
Assistência Diversos REVESTIMENTO BOX SLIM E CAMA FLOATING BED | 0,88 x 1,88 | 444,03
Assistência Diversos REVESTIMENTO BOX SLIM E CAMA FLOATING BED | 1,19 x 1,88 | 492,56
Assistência Diversos REVESTIMENTO BOX SLIM E CAMA FLOATING BED | 1,38 x 1,88 | 522,39
Assistência Diversos REVESTIMENTO BOX SLIM E CAMA FLOATING BED | 1,58 x 1,98 | 888,06
Assistência Diversos REVESTIMENTO BOX SLIM E CAMA FLOATING BED | 1,93 x 2,03 | 960,25
Assistência Diversos REVESTIMENTO BOX P/ ARTICULADO | 0,88 x 1,88 | 370,03
Assistência Diversos REVESTIMENTO BOX P/ ARTICULADO | 1,19 x 1,88 | 410,47
Assistência Diversos REVESTIMENTO BOX P/ ARTICULADO | 1,38 x 1,88 | 435,32
Assistência Diversos REVESTIMENTO BOX P/ ARTICULADO | 1,58 x 1,98 | 740,05
Assistência Diversos REVESTIMENTO BOX P/ ARTICULADO | 1,93 x 2,03 | 800,21
Assistência Diversos REVESTIMENTO BOX BICAMA C/ OU SEM BÁU (S/ COLCHÕES) | 0,88 x 1,88 | 444,03
Assistência Diversos REVESTIMENTO BOX BICAMA C/ OU SEM BÁU (S/ COLCHÕES) | 1,19 x 1,88 | 410,47
